x,y,type,walkable,biome,blockId,description
0,0,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
1,0,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,residential,0,"A quiet sidewalk lined with trees."
0,1,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
1,1,building,false,residential,0,"A small grocery store packed with goods."
2,1,sidewalk,true,residential,0,"Sidewalk with a newspaper stand."
0,2,sidewalk,true,residential,0,"A quiet sidewalk lined with trees."
1,2,sidewalk,true,residential,0,"Sidewalk outside a bustling cafe."
2,2,sidewalk,true,residential,0,"Sidewalk with a newspaper stand."
3,0,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,0,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
5,0,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
3,1,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,1,building,false,commercial,1,"A quiet office space with large windows."
5,1,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
3,2,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,2,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,commercial,1,"Sidewalk with a newspaper stand."
6,0,sidewalk,true,park,2,"You are on a busy sidewalk in front of a shop."
7,0,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
8,0,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
6,1,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
7,1,building,false,park,2,"A small grocery store packed with goods."
8,1,sidewalk,true,park,2,"A quiet sidewalk lined with trees."
6,2,sidewalk,true,park,2,"You are on a busy sidewalk in front of a shop."
7,2,sidewalk,true,park,2,"Sidewalk outside a bustling cafe."
8,2,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
9,0,sidewalk,true,downtown,3,"You are on a busy sidewalk in front of a shop."
10,0,sidewalk,true,downtown,3,"You are on a busy sidewalk in front of a shop."
11,0,sidewalk,true,downtown,3,"Sidewalk outside a bustling cafe."
9,1,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
10,1,building,false,downtown,3,"A cozy bakery with the smell of fresh bread."
11,1,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
9,2,sidewalk,true,downtown,3,"Sidewalk outside a bustling cafe."
10,2,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
11,2,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
12,0,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
13,0,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
14,0,sidewalk,true,industrial,4,"Sidewalk outside a bustling cafe."
12,1,sidewalk,true,industrial,4,"Sidewalk with a bike rack and a bench."
13,1,building,false,industrial,4,"A lively coffee shop with people chatting."
14,1,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
12,2,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
13,2,sidewalk,true,industrial,4,"Sidewalk with a bike rack and a bench."
14,2,sidewalk,true,industrial,4,"You are on a busy sidewalk in front of a shop."
15,0,sidewalk,true,waterfront,5,"You are on a busy sidewalk in front of a shop."
16,0,sidewalk,true,waterfront,5,"Sidewalk with a newspaper stand."
17,0,sidewalk,true,waterfront,5,"Sidewalk with a newspaper stand."
15,1,sidewalk,true,waterfront,5,"Sidewalk outside a bustling cafe."
16,1,building,false,waterfront,5,"A small grocery store packed with goods."
17,1,sidewalk,true,waterfront,5,"Sidewalk outside a bustling cafe."
15,2,sidewalk,true,waterfront,5,"A quiet sidewalk lined with trees."
16,2,sidewalk,true,waterfront,5,"Sidewalk outside a bustling cafe."
17,2,sidewalk,true,waterfront,5,"Sidewalk with a newspaper stand."
18,0,sidewalk,true,mixed-use,6,"Sidewalk with a newspaper stand."
19,0,sidewalk,true,mixed-use,6,"You are on a busy sidewalk in front of a shop."
20,0,sidewalk,true,mixed-use,6,"You are on a busy sidewalk in front of a shop."
18,1,sidewalk,true,mixed-use,6,"Sidewalk with a bike rack and a bench."
19,1,building,false,mixed-use,6,"A quiet office space with large windows."
20,1,sidewalk,true,mixed-use,6,"You are on a busy sidewalk in front of a shop."
18,2,sidewalk,true,mixed-use,6,"A quiet sidewalk lined with trees."
19,2,sidewalk,true,mixed-use,6,"Sidewalk with a bike rack and a bench."
20,2,sidewalk,true,mixed-use,6,"Sidewalk with a bike rack and a bench."
21,0,sidewalk,true,civic,7,"Sidewalk with a newspaper stand."
22,0,sidewalk,true,civic,7,"Sidewalk with a newspaper stand."
23,0,sidewalk,true,civic,7,"Sidewalk with a bike rack and a bench."
21,1,sidewalk,true,civic,7,"A quiet sidewalk lined with trees."
22,1,building,false,civic,7,"You are inside a bustling apartment building."
23,1,sidewalk,true,civic,7,"A quiet sidewalk lined with trees."
21,2,sidewalk,true,civic,7,"Sidewalk with a newspaper stand."
22,2,sidewalk,true,civic,7,"Sidewalk with a bike rack and a bench."
23,2,sidewalk,true,civic,7,"Sidewalk outside a bustling cafe."
24,0,sidewalk,true,residential,8,"Sidewalk outside a bustling cafe."
25,0,sidewalk,true,residential,8,"You are on a busy sidewalk in front of a shop."
26,0,sidewalk,true,residential,8,"Sidewalk with a bike rack and a bench."
24,1,sidewalk,true,residential,8,"Sidewalk with a newspaper stand."
25,1,building,false,residential,8,"A cozy bakery with the smell of fresh bread."
26,1,sidewalk,true,residential,8,"A quiet sidewalk lined with trees."
24,2,sidewalk,true,residential,8,"Sidewalk outside a bustling cafe."
25,2,sidewalk,true,residential,8,"Sidewalk with a bike rack and a bench."
26,2,sidewalk,true,residential,8,"Sidewalk outside a bustling cafe."
27,0,sidewalk,true,commercial,9,"A quiet sidewalk lined with trees."
28,0,sidewalk,true,commercial,9,"Sidewalk with a newspaper stand."
29,0,sidewalk,true,commercial,9,"Sidewalk with a newspaper stand."
27,1,sidewalk,true,commercial,9,"You are on a busy sidewalk in front of a shop."
28,1,building,false,commercial,9,"A small grocery store packed with goods."
29,1,sidewalk,true,commercial,9,"Sidewalk with a bike rack and a bench."
27,2,sidewalk,true,commercial,9,"You are on a busy sidewalk in front of a shop."
28,2,sidewalk,true,commercial,9,"Sidewalk with a bike rack and a bench."
29,2,sidewalk,true,commercial,9,"Sidewalk with a newspaper stand."
30,0,sidewalk,true,park,10,"Sidewalk outside a bustling cafe."
31,0,sidewalk,true,park,10,"A quiet sidewalk lined with trees."
32,0,sidewalk,true,park,10,"A quiet sidewalk lined with trees."
30,1,sidewalk,true,park,10,"Sidewalk with a bike rack and a bench."
31,1,building,false,park,10,"A small grocery store packed with goods."
32,1,sidewalk,true,park,10,"Sidewalk with a newspaper stand."
30,2,sidewalk,true,park,10,"You are on a busy sidewalk in front of a shop."
31,2,sidewalk,true,park,10,"Sidewalk with a bike rack and a bench."
32,2,sidewalk,true,park,10,"Sidewalk outside a bustling cafe."
33,0,sidewalk,true,downtown,11,"You are on a busy sidewalk in front of a shop."
34,0,sidewalk,true,downtown,11,"A quiet sidewalk lined with trees."
35,0,sidewalk,true,downtown,11,"Sidewalk with a bike rack and a bench."
33,1,sidewalk,true,downtown,11,"A quiet sidewalk lined with trees."
34,1,building,false,downtown,11,"A cozy bakery with the smell of fresh bread."
35,1,sidewalk,true,downtown,11,"Sidewalk with a bike rack and a bench."
33,2,sidewalk,true,downtown,11,"Sidewalk with a newspaper stand."
34,2,sidewalk,true,downtown,11,"Sidewalk with a newspaper stand."
35,2,sidewalk,true,downtown,11,"Sidewalk with a bike rack and a bench."
0,3,sidewalk,true,industrial,12,"Sidewalk with a newspaper stand."
1,3,sidewalk,true,industrial,12,"Sidewalk with a bike rack and a bench."
2,3,sidewalk,true,industrial,12,"Sidewalk with a newspaper stand."
0,4,sidewalk,true,industrial,12,"You are on a busy sidewalk in front of a shop."
1,4,building,false,industrial,12,"A quiet office space with large windows."
2,4,sidewalk,true,industrial,12,"Sidewalk outside a bustling cafe."
0,5,sidewalk,true,industrial,12,"Sidewalk with a newspaper stand."
1,5,sidewalk,true,industrial,12,"Sidewalk with a newspaper stand."
2,5,sidewalk,true,industrial,12,"Sidewalk with a bike rack and a bench."
3,3,sidewalk,true,waterfront,13,"Sidewalk with a bike rack and a bench."
4,3,sidewalk,true,waterfront,13,"A quiet sidewalk lined with trees."
5,3,sidewalk,true,waterfront,13,"Sidewalk outside a bustling cafe."
3,4,sidewalk,true,waterfront,13,"Sidewalk with a newspaper stand."
4,4,building,false,waterfront,13,"A cozy bakery with the smell of fresh bread."
5,4,sidewalk,true,waterfront,13,"Sidewalk outside a bustling cafe."
3,5,sidewalk,true,waterfront,13,"Sidewalk with a newspaper stand."
4,5,sidewalk,true,waterfront,13,"You are on a busy sidewalk in front of a shop."
5,5,sidewalk,true,waterfront,13,"You are on a busy sidewalk in front of a shop."
6,3,sidewalk,true,mixed-use,14,"Sidewalk with a bike rack and a bench."
7,3,sidewalk,true,mixed-use,14,"A quiet sidewalk lined with trees."
8,3,sidewalk,true,mixed-use,14,"A quiet sidewalk lined with trees."
6,4,sidewalk,true,mixed-use,14,"A quiet sidewalk lined with trees."
7,4,building,false,mixed-use,14,"A cozy bakery with the smell of fresh bread."
8,4,sidewalk,true,mixed-use,14,"You are on a busy sidewalk in front of a shop."
6,5,sidewalk,true,mixed-use,14,"A quiet sidewalk lined with trees."
7,5,sidewalk,true,mixed-use,14,"Sidewalk with a newspaper stand."
8,5,sidewalk,true,mixed-use,14,"Sidewalk with a bike rack and a bench."
9,3,sidewalk,true,civic,15,"Sidewalk with a bike rack and a bench."
10,3,sidewalk,true,civic,15,"Sidewalk with a newspaper stand."
11,3,sidewalk,true,civic,15,"Sidewalk outside a bustling cafe."
9,4,sidewalk,true,civic,15,"You are on a busy sidewalk in front of a shop."
10,4,building,false,civic,15,"A quiet office space with large windows."
11,4,sidewalk,true,civic,15,"Sidewalk with a newspaper stand."
9,5,sidewalk,true,civic,15,"Sidewalk with a bike rack and a bench."
10,5,sidewalk,true,civic,15,"Sidewalk with a newspaper stand."
11,5,sidewalk,true,civic,15,"Sidewalk outside a bustling cafe."
12,3,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
13,3,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
14,3,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
12,4,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
13,4,building,false,residential,16,"You are inside a bustling apartment building."
14,4,sidewalk,true,residential,16,"Sidewalk with a newspaper stand."
12,5,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
13,5,sidewalk,true,residential,16,"Sidewalk outside a bustling cafe."
14,5,sidewalk,true,residential,16,"You are on a busy sidewalk in front of a shop."
15,3,sidewalk,true,commercial,17,"Sidewalk with a bike rack and a bench."
16,3,sidewalk,true,commercial,17,"A quiet sidewalk lined with trees."
17,3,sidewalk,true,commercial,17,"You are on a busy sidewalk in front of a shop."
15,4,sidewalk,true,commercial,17,"Sidewalk outside a bustling cafe."
16,4,building,false,commercial,17,"A quiet office space with large windows."
17,4,sidewalk,true,commercial,17,"Sidewalk with a bike rack and a bench."
15,5,sidewalk,true,commercial,17,"Sidewalk with a newspaper stand."
16,5,sidewalk,true,commercial,17,"Sidewalk outside a bustling cafe."
17,5,sidewalk,true,commercial,17,"You are on a busy sidewalk in front of a shop."
18,3,sidewalk,true,park,18,"A quiet sidewalk lined with trees."
19,3,sidewalk,true,park,18,"You are on a busy sidewalk in front of a shop."
20,3,sidewalk,true,park,18,"You are on a busy sidewalk in front of a shop."
18,4,sidewalk,true,park,18,"Sidewalk outside a bustling cafe."
19,4,building,false,park,18,"You are inside a bustling apartment building."
20,4,sidewalk,true,park,18,"Sidewalk with a bike rack and a bench."
18,5,sidewalk,true,park,18,"Sidewalk with a bike rack and a bench."
19,5,sidewalk,true,park,18,"Sidewalk outside a bustling cafe."
20,5,sidewalk,true,park,18,"Sidewalk with a bike rack and a bench."
21,3,sidewalk,true,downtown,19,"Sidewalk outside a bustling cafe."
22,3,sidewalk,true,downtown,19,"A quiet sidewalk lined with trees."
23,3,sidewalk,true,downtown,19,"A quiet sidewalk lined with trees."
21,4,sidewalk,true,downtown,19,"You are on a busy sidewalk in front of a shop."
22,4,building,false,downtown,19,"You are inside a bustling apartment building."
23,4,sidewalk,true,downtown,19,"You are on a busy sidewalk in front of a shop."
21,5,sidewalk,true,downtown,19,"Sidewalk outside a bustling cafe."
22,5,sidewalk,true,downtown,19,"You are on a busy sidewalk in front of a shop."
23,5,sidewalk,true,downtown,19,"A quiet sidewalk lined with trees."
24,3,sidewalk,true,industrial,20,"Sidewalk with a bike rack and a bench."
25,3,sidewalk,true,industrial,20,"Sidewalk with a newspaper stand."
26,3,sidewalk,true,industrial,20,"A quiet sidewalk lined with trees."
24,4,sidewalk,true,industrial,20,"Sidewalk with a bike rack and a bench."
25,4,building,false,industrial,20,"You are inside a bustling apartment building."
26,4,sidewalk,true,industrial,20,"Sidewalk with a bike rack and a bench."
24,5,sidewalk,true,industrial,20,"Sidewalk with a bike rack and a bench."
25,5,sidewalk,true,industrial,20,"Sidewalk with a bike rack and a bench."
26,5,sidewalk,true,industrial,20,"Sidewalk with a newspaper stand."
27,3,sidewalk,true,waterfront,21,"You are on a busy sidewalk in front of a shop."
28,3,sidewalk,true,waterfront,21,"Sidewalk with a newspaper stand."
29,3,sidewalk,true,waterfront,21,"Sidewalk with a newspaper stand."
27,4,sidewalk,true,waterfront,21,"You are on a busy sidewalk in front of a shop."
28,4,building,false,waterfront,21,"A small grocery store packed with goods."
29,4,sidewalk,true,waterfront,21,"Sidewalk with a newspaper stand."
27,5,sidewalk,true,waterfront,21,"Sidewalk with a bike rack and a bench."
28,5,sidewalk,true,waterfront,21,"Sidewalk with a newspaper stand."
29,5,sidewalk,true,waterfront,21,"A quiet sidewalk lined with trees."
30,3,sidewalk,true,mixed-use,22,"Sidewalk with a bike rack and a bench."
31,3,sidewalk,true,mixed-use,22,"A quiet sidewalk lined with trees."
32,3,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
30,4,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
31,4,building,false,mixed-use,22,"A quiet office space with large windows."
32,4,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
30,5,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
31,5,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
32,5,sidewalk,true,mixed-use,22,"Sidewalk with a newspaper stand."
33,3,sidewalk,true,civic,23,"Sidewalk with a bike rack and a bench."
34,3,sidewalk,true,civic,23,"You are on a busy sidewalk in front of a shop."
35,3,sidewalk,true,civic,23,"Sidewalk with a bike rack and a bench."
33,4,sidewalk,true,civic,23,"You are on a busy sidewalk in front of a shop."
34,4,building,false,civic,23,"You are inside a bustling apartment building."
35,4,sidewalk,true,civic,23,"A quiet sidewalk lined with trees."
33,5,sidewalk,true,civic,23,"A quiet sidewalk lined with trees."
34,5,sidewalk,true,civic,23,"Sidewalk with a bike rack and a bench."
35,5,sidewalk,true,civic,23,"Sidewalk with a bike rack and a bench."
0,6,sidewalk,true,residential,24,"Sidewalk with a bike rack and a bench."
1,6,sidewalk,true,residential,24,"A quiet sidewalk lined with trees."
2,6,sidewalk,true,residential,24,"Sidewalk with a newspaper stand."
0,7,sidewalk,true,residential,24,"Sidewalk with a bike rack and a bench."
1,7,building,false,residential,24,"A small grocery store packed with goods."
2,7,sidewalk,true,residential,24,"You are on a busy sidewalk in front of a shop."
0,8,sidewalk,true,residential,24,"Sidewalk with a bike rack and a bench."
1,8,sidewalk,true,residential,24,"You are on a busy sidewalk in front of a shop."
2,8,sidewalk,true,residential,24,"Sidewalk with a newspaper stand."
3,6,sidewalk,true,commercial,25,"A quiet sidewalk lined with trees."
4,6,sidewalk,true,commercial,25,"Sidewalk outside a bustling cafe."
5,6,sidewalk,true,commercial,25,"A quiet sidewalk lined with trees."
3,7,sidewalk,true,commercial,25,"Sidewalk with a newspaper stand."
4,7,building,false,commercial,25,"A quiet office space with large windows."
5,7,sidewalk,true,commercial,25,"You are on a busy sidewalk in front of a shop."
3,8,sidewalk,true,commercial,25,"Sidewalk outside a bustling cafe."
4,8,sidewalk,true,commercial,25,"You are on a busy sidewalk in front of a shop."
5,8,sidewalk,true,commercial,25,"Sidewalk with a bike rack and a bench."
6,6,sidewalk,true,park,26,"Sidewalk with a bike rack and a bench."
7,6,sidewalk,true,park,26,"Sidewalk with a bike rack and a bench."
8,6,sidewalk,true,park,26,"A quiet sidewalk lined with trees."
6,7,sidewalk,true,park,26,"You are on a busy sidewalk in front of a shop."
7,7,building,false,park,26,"A quiet office space with large windows."
8,7,sidewalk,true,park,26,"Sidewalk with a bike rack and a bench."
6,8,sidewalk,true,park,26,"Sidewalk with a bike rack and a bench."
7,8,sidewalk,true,park,26,"A quiet sidewalk lined with trees."
8,8,sidewalk,true,park,26,"A quiet sidewalk lined with trees."
9,6,sidewalk,true,downtown,27,"A quiet sidewalk lined with trees."
10,6,sidewalk,true,downtown,27,"Sidewalk outside a bustling cafe."
11,6,sidewalk,true,downtown,27,"A quiet sidewalk lined with trees."
9,7,sidewalk,true,downtown,27,"You are on a busy sidewalk in front of a shop."
10,7,building,false,downtown,27,"A quiet office space with large windows."
11,7,sidewalk,true,downtown,27,"You are on a busy sidewalk in front of a shop."
9,8,sidewalk,true,downtown,27,"Sidewalk with a newspaper stand."
10,8,sidewalk,true,downtown,27,"A quiet sidewalk lined with trees."
11,8,sidewalk,true,downtown,27,"Sidewalk with a bike rack and a bench."
12,6,sidewalk,true,industrial,28,"Sidewalk with a newspaper stand."
13,6,sidewalk,true,industrial,28,"You are on a busy sidewalk in front of a shop."
14,6,sidewalk,true,industrial,28,"Sidewalk with a bike rack and a bench."
12,7,sidewalk,true,industrial,28,"Sidewalk with a newspaper stand."
13,7,building,false,industrial,28,"A small grocery store packed with goods."
14,7,sidewalk,true,industrial,28,"Sidewalk with a newspaper stand."
12,8,sidewalk,true,industrial,28,"Sidewalk outside a bustling cafe."
13,8,sidewalk,true,industrial,28,"You are on a busy sidewalk in front of a shop."
14,8,sidewalk,true,industrial,28,"You are on a busy sidewalk in front of a shop."
15,6,sidewalk,true,waterfront,29,"Sidewalk with a bike rack and a bench."
16,6,sidewalk,true,waterfront,29,"You are on a busy sidewalk in front of a shop."
17,6,sidewalk,true,waterfront,29,"You are on a busy sidewalk in front of a shop."
15,7,sidewalk,true,waterfront,29,"A quiet sidewalk lined with trees."
16,7,building,false,waterfront,29,"A quiet office space with large windows."
17,7,sidewalk,true,waterfront,29,"Sidewalk outside a bustling cafe."
15,8,sidewalk,true,waterfront,29,"Sidewalk with a bike rack and a bench."
16,8,sidewalk,true,waterfront,29,"A quiet sidewalk lined with trees."
17,8,sidewalk,true,waterfront,29,"Sidewalk with a bike rack and a bench."
18,6,sidewalk,true,mixed-use,30,"Sidewalk outside a bustling cafe."
19,6,sidewalk,true,mixed-use,30,"Sidewalk outside a bustling cafe."
20,6,sidewalk,true,mixed-use,30,"Sidewalk with a newspaper stand."
18,7,sidewalk,true,mixed-use,30,"A quiet sidewalk lined with trees."
19,7,building,false,mixed-use,30,"You are inside a bustling apartment building."
20,7,sidewalk,true,mixed-use,30,"Sidewalk with a newspaper stand."
18,8,sidewalk,true,mixed-use,30,"Sidewalk with a bike rack and a bench."
19,8,sidewalk,true,mixed-use,30,"Sidewalk outside a bustling cafe."
20,8,sidewalk,true,mixed-use,30,"Sidewalk outside a bustling cafe."
21,6,sidewalk,true,civic,31,"Sidewalk with a newspaper stand."
22,6,sidewalk,true,civic,31,"A quiet sidewalk lined with trees."
23,6,sidewalk,true,civic,31,"You are on a busy sidewalk in front of a shop."
21,7,sidewalk,true,civic,31,"Sidewalk with a newspaper stand."
22,7,building,false,civic,31,"A small grocery store packed with goods."
23,7,sidewalk,true,civic,31,"Sidewalk outside a bustling cafe."
21,8,sidewalk,true,civic,31,"Sidewalk outside a bustling cafe."
22,8,sidewalk,true,civic,31,"Sidewalk with a bike rack and a bench."
23,8,sidewalk,true,civic,31,"Sidewalk outside a bustling cafe."
24,6,sidewalk,true,residential,32,"A quiet sidewalk lined with trees."
25,6,sidewalk,true,residential,32,"Sidewalk outside a bustling cafe."
26,6,sidewalk,true,residential,32,"Sidewalk outside a bustling cafe."
24,7,sidewalk,true,residential,32,"Sidewalk with a newspaper stand."
25,7,building,false,residential,32,"A lively coffee shop with people chatting."
26,7,sidewalk,true,residential,32,"Sidewalk outside a bustling cafe."
24,8,sidewalk,true,residential,32,"Sidewalk outside a bustling cafe."
25,8,sidewalk,true,residential,32,"Sidewalk with a bike rack and a bench."
26,8,sidewalk,true,residential,32,"You are on a busy sidewalk in front of a shop."
27,6,sidewalk,true,commercial,33,"A quiet sidewalk lined with trees."
28,6,sidewalk,true,commercial,33,"Sidewalk outside a bustling cafe."
29,6,sidewalk,true,commercial,33,"Sidewalk outside a bustling cafe."
27,7,sidewalk,true,commercial,33,"A quiet sidewalk lined with trees."
28,7,building,false,commercial,33,"A small grocery store packed with goods."
29,7,sidewalk,true,commercial,33,"Sidewalk with a bike rack and a bench."
27,8,sidewalk,true,commercial,33,"A quiet sidewalk lined with trees."
28,8,sidewalk,true,commercial,33,"Sidewalk with a bike rack and a bench."
29,8,sidewalk,true,commercial,33,"Sidewalk with a bike rack and a bench."
30,6,sidewalk,true,park,34,"You are on a busy sidewalk in front of a shop."
31,6,sidewalk,true,park,34,"You are on a busy sidewalk in front of a shop."
32,6,sidewalk,true,park,34,"Sidewalk with a newspaper stand."
30,7,sidewalk,true,park,34,"A quiet sidewalk lined with trees."
31,7,building,false,park,34,"A cozy bakery with the smell of fresh bread."
32,7,sidewalk,true,park,34,"Sidewalk with a newspaper stand."
30,8,sidewalk,true,park,34,"Sidewalk with a newspaper stand."
31,8,sidewalk,true,park,34,"Sidewalk with a bike rack and a bench."
32,8,sidewalk,true,park,34,"Sidewalk outside a bustling cafe."
33,6,sidewalk,true,downtown,35,"A quiet sidewalk lined with trees."
34,6,sidewalk,true,downtown,35,"A quiet sidewalk lined with trees."
35,6,sidewalk,true,downtown,35,"Sidewalk with a bike rack and a bench."
33,7,sidewalk,true,downtown,35,"Sidewalk with a bike rack and a bench."
34,7,building,false,downtown,35,"A small grocery store packed with goods."
35,7,sidewalk,true,downtown,35,"Sidewalk with a bike rack and a bench."
33,8,sidewalk,true,downtown,35,"Sidewalk with a newspaper stand."
34,8,sidewalk,true,downtown,35,"Sidewalk with a bike rack and a bench."
35,8,sidewalk,true,downtown,35,"You are on a busy sidewalk in front of a shop."
0,9,sidewalk,true,industrial,36,"Sidewalk outside a bustling cafe."
1,9,sidewalk,true,industrial,36,"You are on a busy sidewalk in front of a shop."
2,9,sidewalk,true,industrial,36,"You are on a busy sidewalk in front of a shop."
0,10,sidewalk,true,industrial,36,"Sidewalk outside a bustling cafe."
